,x,y,z,Vx,Vy,Vz,t
1057,0.026544108986854553,-2.040268659591675,1.2886079549789429,0.0,0.0,0.0,8.109105110168457
1058,0.026544108986854553,-2.040268659591675,1.2886079549789429,0.0,0.0,0.0,8.115174293518066
1059,0.026544108986854553,-2.040268659591675,1.2886079549789429,0.0,0.0,0.0,8.120770931243896
1060,0.026544108986854553,-2.040268659591675,1.2886079549789429,0.0,0.0,0.0,8.126363277435303
1061,0.026544108986854553,-2.040268659591675,1.2886079549789429,0.0,0.0,0.0,8.131971836090088
1062,0.026544108986854553,-2.040268659591675,1.2886079549789429,0.0,0.0,0.0,8.137599229812622
1063,0.026544108986854553,-2.040268659591675,1.2886079549789429,0.0,0.0,0.0,8.143239498138428
1064,0.026544108986854553,-2.040268659591675,1.2886079549789429,0.0,0.0,0.0,8.148733615875244
1065,0.026544108986854553,-2.040268659591675,1.2886079549789429,0.0,0.0,0.0,8.154389381408691
1066,0.026544108986854553,-2.040268659591675,1.2886079549789429,0.0,0.0,0.0,8.159989595413208
1067,0.026544108986854553,-2.040268659591675,1.2886079549789429,0.0,0.0,0.0,8.165597915649414
1068,0.026544108986854553,-2.040268659591675,1.2886079549789429,0.0,0.0,0.0,8.171301364898682
1069,0.026544108986854553,-2.040268659591675,1.2886079549789429,0.0,0.0,0.0,8.17685604095459
1070,0.026544108986854553,-2.040268659591675,1.2886079549789429,0.0,0.0,0.0,8.18250298500061
1071,0.025059949606657028,-2.0410308837890625,1.2844977378845215,0.0,0.0,0.0,8.188055276870728
1072,0.025059949606657028,-2.0410308837890625,1.2844977378845215,0.0,0.0,0.0,8.194177627563477
1073,0.025059949606657028,-2.0410308837890625,1.2844977378845215,0.0,0.0,0.0,8.19977617263794
1074,0.025059949606657028,-2.0410308837890625,1.2844977378845215,0.0,0.0,0.0,8.205420732498169
1075,0.025059949606657028,-2.0410308837890625,1.2844977378845215,0.0,0.0,0.0,8.210615873336792
1076,0.026587462052702904,-2.041367530822754,1.2801061868667603,0.0,0.0,0.0,8.216723203659058
1077,0.026587462052702904,-2.041367530822754,1.2801061868667603,0.0,0.0,0.0,8.221837997436523
1078,0.026587462052702904,-2.041367530822754,1.2801061868667603,0.0,0.0,0.0,8.227356433868408
1079,0.026587462052702904,-2.041367530822754,1.2801061868667603,0.0,0.0,0.0,8.233002424240112
1080,0.026587462052702904,-2.041367530822754,1.2801061868667603,0.0,0.0,0.0,8.238267421722412
1081,0.026587462052702904,-2.041367530822754,1.2801061868667603,0.0,0.0,0.0,8.244143724441528
1082,0.026587462052702904,-2.041367530822754,1.2801061868667603,0.0,0.0,0.0,8.24997329711914
1083,0.057,-2.053,1.532,0.0,0.0,0.0,8.255536794662476
1084,0.028453802689909935,-2.041095733642578,1.2756173610687256,0.0,0.0,0.0,8.260833024978638
